symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
GOOGL,2020-02-12 00:00:00+00:00,1518.63,1520.3,1508.67,1515.86,1552136,1518.63,1520.3,1508.67,1515.86,1552136,0.0,1.0
GOOGL,2020-02-13 00:00:00+00:00,1513.39,1525.95,1504.0,1510.0,1145658,1513.39,1525.95,1504.0,1510.0,1145658,0.0,1.0
GOOGL,2020-02-14 00:00:00+00:00,1518.73,1520.05,1505.55,1514.53,1159857,1518.73,1520.05,1505.55,1514.53,1159857,0.0,1.0
GOOGL,2020-02-18 00:00:00+00:00,1519.44,1530.56,1511.01,1514.34,1284011,1519.44,1530.56,1511.01,1514.34,1284011,0.0,1.0
GOOGL,2020-02-19 00:00:00+00:00,1524.87,1530.74,1520.98,1527.2,1137338,1524.87,1530.74,1520.98,1527.2,1137338,0.0,1.0
GOOGL,2020-02-20 00:00:00+00:00,1516.99,1527.07,1504.26,1519.01,1298386,1516.99,1527.07,1504.26,1519.01,1298386,0.0,1.0
GOOGL,2020-02-21 00:00:00+00:00,1483.46,1510.94,1478.49,1504.58,2126843,1483.46,1510.94,1478.49,1504.58,2126843,0.0,1.0
GOOGL,2020-02-24 00:00:00+00:00,1419.86,1436.38,1406.79,1423.05,2478039,1419.86,1436.38,1406.79,1423.05,2478039,0.0,1.0
GOOGL,2020-02-25 00:00:00+00:00,1386.32,1436.85,1380.42,1431.0,2578966,1386.32,1436.85,1380.42,1431.0,2578966,0.0,1.0
GOOGL,2020-02-26 00:00:00+00:00,1390.47,1413.67,1376.55,1394.98,2490178,1390.47,1413.67,1376.55,1394.98,2490178,0.0,1.0
GOOGL,2020-02-27 00:00:00+00:00,1314.95,1369.4,1314.24,1359.14,3114476,1314.95,1369.4,1314.24,1359.14,3114476,0.0,1.0
GOOGL,2020-02-28 00:00:00+00:00,1339.25,1342.45,1268.21,1274.31,4010900,1339.25,1342.45,1268.21,1274.31,4010900,0.0,1.0
GOOGL,2020-03-02 00:00:00+00:00,1386.32,1387.47,1325.2,1351.39,2771463,1386.32,1387.47,1325.2,1351.39,2771463,0.0,1.0
GOOGL,2020-03-03 00:00:00+00:00,1337.72,1408.19,1329.24,1397.68,2830112,1337.72,1408.19,1329.24,1397.68,2830112,0.0,1.0
GOOGL,2020-03-04 00:00:00+00:00,1381.6,1382.78,1337.0,1358.96,2379856,1381.6,1382.78,1337.0,1358.96,2379856,0.0,1.0
GOOGL,2020-03-05 00:00:00+00:00,1314.76,1353.63,1301.64,1345.55,2718982,1314.76,1353.63,1301.64,1345.55,2718982,0.0,1.0
GOOGL,2020-03-06 00:00:00+00:00,1295.74,1302.75,1257.21,1269.95,3232315,1295.74,1302.75,1257.21,1269.95,3232315,0.0,1.0
